name,affiliation,email,citations,hindex,i10index,profile
Sopha Soeung,National Institute of Education,Verified email at nie.edu.kh,111,7,6,https://scholar.google.com/citations?hl=en&user=9PwEPscAAAAJ
Savrin THY,"Doctor of Education, National Institute of Education (NIE), Cambodia",Verified email at nie.edu.kh,61,6,2,https://scholar.google.com/citations?hl=en&user=uSEWd2EAAAAJ
Vutheavy Chim,"National Institute of Education, Cambodia",Verified email at nie.edu.kh,45,4,2,https://scholar.google.com/citations?hl=en&user=PEUvlEoAAAAJ
Ngoeurn,MA,Verified email at nie.edu.kh,43,2,2,https://scholar.google.com/citations?hl=en&user=3EhvL_8AAAAJ
Rany im,"Graduate School of Education, Aichi University of Education",Verified email at nie.edu.kh,36,3,2,https://scholar.google.com/citations?hl=en&user=R83b3dIAAAAJ
Chanponna Chea,"Doctor of Philosophy in Education, Hiroshima University, Japan",Verified email at nie.edu.kh - Homepage,26,2,1,https://scholar.google.com/citations?hl=en&user=FuzFGI0AAAAJ
Sieng Veasna,"Deputy director of Graduate School, National Institute of Education (NIE), Cambodia.",Verified email at nie.edu.kh - Homepage,18,2,1,https://scholar.google.com/citations?hl=en&user=T-tTZAoAAAAJ
Somara Sun,"Training Coordinator, New Generation Pedagogical Research Center, National Institute of Education",Verified email at nie.edu.kh,13,2,0,https://scholar.google.com/citations?hl=en&user=Wojz0MMAAAAJ
Robraw Ann,"Vice-Dean, Institut National de l'Education",Verified email at nie.edu.kh,6,1,0,https://scholar.google.com/citations?hl=en&user=fBM_BCoAAAAJ
Sokchea Ly,National Institute of Education,Verified email at nie.edu.kh,6,1,0,https://scholar.google.com/citations?hl=en&user=djlI_lUAAAAJ
Keun Im,"Researcher, Academic Supervisor, and IELTS trainer for postgraduate scholars",Verified email at nie.edu.kh,5,1,0,https://scholar.google.com/citations?hl=en&user=I9Of67EAAAAJ
Huy Hang,"Ph.D. Research Scholar, University of Calcutta",Verified email at nie.edu.kh,1,1,0,https://scholar.google.com/citations?hl=en&user=GkYG2CMAAAAJ
Leang So Khuong,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,1318,11,11,https://scholar.google.com/citations?hl=en&user=PNquJjkAAAAJ
SAR SARY,Senior Lecturer of National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,439,13,18,https://scholar.google.com/citations?hl=en&user=KuX3qM4AAAAJ
Chivon Choeung,"Lecturer & Researcher, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,336,12,15,https://scholar.google.com/citations?hl=en&user=LxeaO3oAAAAJ
Heng Tang,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,176,9,9,https://scholar.google.com/citations?hl=en&user=Jcl8V6UAAAAJ
Panha Soth,"Lecturer, National Polytechnic Institue of Cambodia",Verified email at npic.edu.kh,175,9,9,https://scholar.google.com/citations?hl=en&user=Ldc7Nn8AAAAJ
"Phanam Pech, Ph.D.","Contract Professor, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,141,8,5,https://scholar.google.com/citations?hl=en&user=FQ5sSXQAAAAJ
Oum Saokosal,"Chief of Faculty of Computer Science, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,128,1,1,https://scholar.google.com/citations?hl=en&user=xVCwYQ4AAAAJ
sovann ang,"Lecturer of electrical engineering, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,117,6,6,https://scholar.google.com/citations?hl=en&user=q6P9J_MAAAAJ
Channareth Srun,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,116,7,2,https://scholar.google.com/citations?hl=en&user=s3wcBcsAAAAJ
SAR SARY,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,84,5,4,https://scholar.google.com/citations?hl=en&user=-GbGOb4AAAAJ
SEVEN SIREN,"Electronic and Telecommunication, NPIC",Verified email at npic.edu.kh,79,6,2,https://scholar.google.com/citations?hl=en&user=UKtVp5MAAAAJ
Socheat YAY,"Faculty of Electricity, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,68,4,3,https://scholar.google.com/citations?hl=en&user=fdJIykYAAAAJ
UN Sokoeun,Institute of Technology of Cambodia (ITC),Verified email at npic.edu.kh - Homepage,53,5,1,https://scholar.google.com/citations?hl=en&user=qfezglkAAAAJ
Sokun Ieng,"Lecturer of Electrical Engineering, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,50,4,3,https://scholar.google.com/citations?hl=en&user=0PRsC7YAAAAJ
Sokna San,"Instructor of Electricity, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,47,3,2,https://scholar.google.com/citations?hl=en&user=fC5rUXUAAAAJ
Bunne So,Lecturer,Verified email at npic.edu.kh,45,3,2,https://scholar.google.com/citations?hl=en&user=wh0uVTwAAAAJ
Tan Hor,"Institut Teknologi Sepuluh Nopember, National Polytechnic Institute of Cambodia (NPIC)",Verified email at npic.edu.kh - Homepage,43,2,2,https://scholar.google.com/citations?hl=en&user=Mh1hm-4AAAAJ
Sokvan In,Lecturer,Verified email at npic.edu.kh,42,3,2,https://scholar.google.com/citations?hl=en&user=RmwKr3gAAAAJ
Sros Nhek,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh,35,4,1,https://scholar.google.com/citations?hl=en&user=RF_TZ7AAAAAJ
srey sophyn,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,25,3,1,https://scholar.google.com/citations?hl=en&user=NIi41yAAAAAJ
Khoem sambath,"Lecture of Computer Science, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,23,2,1,https://scholar.google.com/citations?hl=en&user=ifqzn6fhPtYC
Kakada Sovan,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,22,1,1,https://scholar.google.com/citations?hl=en&user=C1lqUi0AAAAJ
Soeng Saban,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,13,1,1,https://scholar.google.com/citations?hl=en&user=Pbr41IUAAAAJ
DARA SENG HUO,"Professor of Construction, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,10,2,0,https://scholar.google.com/citations?hl=en&user=rJXN6sMAAAAJ
Sophea Nam,"Faculty of Electricity, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,7,1,0,https://scholar.google.com/citations?hl=en&user=pR4FxiEAAAAJ
Born Chhaytep,"Lecturer of Electrical, National Polytechnic Institute of Cambodia.",Verified email at npic.edu.kh,2,1,0,https://scholar.google.com/citations?hl=en&user=TiRmqUEAAAAJ
Hut Sovannarith,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,1,1,0,https://scholar.google.com/citations?hl=en&user=vO2fqpQAAAAJ
Mengseu Pheng,"Undergraduate Researcher, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,1,1,0,https://scholar.google.com/citations?hl=en&user=7h0zeukAAAAJ
SOK Piseth,"Professor of Computer Science, NPIC Cambodia",Verified email at npic.edu.kh - Homepage,1,1,0,https://scholar.google.com/citations?hl=en&user=MqELRB0AAAAJ
Lim Lorn,Unknown affiliation,Verified email at npic.edu.kh,,,,https://scholar.google.com/citations?hl=en&user=8NWypKcAAAAJ
