domain,name,affiliation,email,citations,hindex,i10index,profile
uhs.edu.kh,SAPHONN Vonthanak,Professor of Public Health,Verified email at uhs.edu.kh,4298,37,96,https://scholar.google.com/citations?hl=en&user=T9boLcsAAAAJ
uhs.edu.kh,OLIVIER SEGERAL,Unknown affiliation,Verified email at uhs.edu.kh,705,14,17,https://scholar.google.com/citations?hl=en&user=1g305mgAAAAJ
uhs.edu.kh,"DARY CHHAVARATH (PhD., PharmD., MSc., BPharm.)","Lecturer-Researcher (Public Health Unit, University of Health Sciences)",Verified email at uhs.edu.kh -Homepage,133,7,6,https://scholar.google.com/citations?hl=en&user=zjgK8n0AAAAJ
uhs.edu.kh,HENG MENGHAK,Calmette Hospital,Verified email at uhs.edu.kh,1,1,0,https://scholar.google.com/citations?hl=en&user=yGbJlKsAAAAJ
uhs.edu.kh,Sophal Yem,"Assoc Prof. of Oral Pathology, University of Healrh Sciences, Phnom Penh, Cambodia",Verified email at uhs.edu.kh -Homepage,,,,https://scholar.google.com/citations?hl=en&user=npyurTQAAAAJ
uhs.edu.kh,Sophal Yem,Assoc Professor of Oral Pathology,Verified email at uhs.edu.kh -Homepage,,,,https://scholar.google.com/citations?hl=en&user=yXM_4YwAAAAJ
uhs.edu.kh,Leabheng BUNLY,Doctor Specialist at Preah Ang Duong Hospital,Verified email at uhs.edu.kh -Homepage,,,,https://scholar.google.com/citations?hl=en&user=C3GdvIMAAAAJ
uhs.edu.kh,Sela Bun,University of Health Sciences; Techo Santepheap National Hospital,Verified email at uhs.edu.kh,,,,https://scholar.google.com/citations?hl=en&user=76beRtoAAAAJ
rua.edu.kh,Sarun Horn,Researcher and Lecturer,Verified email at rua.edu.kh -Homepage,2000,24,77,https://scholar.google.com/citations?hl=en&user=yEVM4i8AAAAJ
rua.edu.kh,Lyda Hok,An Academic Leader and Senior Researcher (Agri-Food Systems) at Royal University of Agriculture,Verified email at rua.edu.kh -Homepage,751,15,19,https://scholar.google.com/citations?hl=en&user=McB6KcgAAAAJ
rua.edu.kh,Borarin Buntong,Researcher at Royal University of Agriculture,Verified email at rua.edu.kh -Homepage,699,9,8,https://scholar.google.com/citations?hl=en&user=QC4yOWYAAAAJ
rua.edu.kh,Samkol,Researcher,Verified email at rua.edu.kh,581,15,21,https://scholar.google.com/citations?hl=en&user=HVk2vigAAAAJ
rua.edu.kh,Dyna Theng,Royal University of Agriculture,Verified email at rua.edu.kh -Homepage,393,8,7,https://scholar.google.com/citations?hl=en&user=DcAPPHoAAAAJ
rua.edu.kh,Keo Sath,Unknown affiliation,Verified email at rua.edu.kh,329,10,10,https://scholar.google.com/citations?hl=en&user=-N-SfvAAAAAJ
rua.edu.kh,Samol Chhuoy,Lecturer and Researcher,Verified email at rua.edu.kh,304,9,8,https://scholar.google.com/citations?hl=en&user=amDV9hUAAAAJ
rua.edu.kh,kim Soben,Royal University of Agriculture,Verified email at rua.edu.kh -Homepage,251,6,5,https://scholar.google.com/citations?hl=en&user=0KIlsIAAAAAJ
rua.edu.kh,Ro Sophoanrith,"Faculty of Agronomy, Royal University of Agriculture",Verified email at rua.edu.kh,247,9,8,https://scholar.google.com/citations?hl=en&user=z0MU060AAAAJ
rua.edu.kh,Nareth Nut,"Faculty of Agricultural Engineering, Royal University of Agriculture",Verified email at rua.edu.kh -Homepage,236,7,4,https://scholar.google.com/citations?hl=en&user=FZtE9eoAAAAJ
rule.edu.kh,Sras Hem,"Lecturer of Law, RULE",Verified email at rule.edu.kh -Homepage,4,1,0,https://scholar.google.com/citations?hl=en&user=ckL4UFMAAAAJ
rule.edu.kh,Kong Sopheak,Royal University of Law and Economics Science,Verified email at rule.edu.kh,,,,https://scholar.google.com/citations?hl=en&user=6kfFbBcAAAAJ
num.edu.kh,"Sophal Im, PhD","National University of Management, IIC University Of Technology",Verified email at num.edu.kh -Homepage,6252,39,103,https://scholar.google.com/citations?hl=en&user=8pWKvxQAAAAJ
num.edu.kh,Dr. Md Jamirul Haque,National University of Management,Verified email at num.edu.kh -Homepage,160,5,3,https://scholar.google.com/citations?hl=en&user=eEh1C7IAAAAJ
num.edu.kh,Tum Nhim,Senior Researcher at National University of Management,Verified email at num.edu.kh,89,4,3,https://scholar.google.com/citations?hl=en&user=sTpzolgAAAAJ
num.edu.kh,Sum Sochenda,National Polytechnic Institute of Cambodia,Verified email at num.edu.kh,22,2,1,https://scholar.google.com/citations?hl=en&user=WQm40-MAAAAJ
num.edu.kh,Sreng Vichet,Assistance Professor,Verified email at num.edu.kh,,,,https://scholar.google.com/citations?hl=en&user=MFqBhr4AAAAJ
cadt.edu.kh,Cheab Sovuthy,Dean of School of Digital Engineering,Verified email at cadt.edu.kh -Homepage,563,11,13,https://scholar.google.com/citations?hl=en&user=Lx92H5gAAAAJ
cadt.edu.kh,Hongly Va,"Institute of Digital Technology, CADT",Verified email at cadt.edu.kh,102,6,2,https://scholar.google.com/citations?hl=en&user=GhOZ1aUAAAAJ
cadt.edu.kh,Ratha Yeu,Lecturer and Researcher,Verified email at cadt.edu.kh,46,2,1,https://scholar.google.com/citations?hl=en&user=5I3UsuUAAAAJ
cadt.edu.kh,Kor Sokchea,"Researcher, Institute of Digital Technology, CADT",Verified email at cadt.edu.kh,37,3,2,https://scholar.google.com/citations?hl=en&user=17s7gy8AAAAJ
