domain,name,affiliation,email,citations,hindex,i10index,profile
rupp.edu.kh,"Professor, Dr. Sou Veasna",Royal University of Phnom Penh (RUPP),Verified email at rupp.edu.kh -Homepage,1139,9,6,https://scholar.google.com/citations?hl=en&user=88pQgvAAAAAJ
rupp.edu.kh,"Chan Oeurn Chey, PhD","Graduate School of Science, Royal University of Phnom Penh",Verified email at rupp.edu.kh -Homepage,831,16,22,https://scholar.google.com/citations?hl=en&user=2ALq40oAAAAJ
rupp.edu.kh,Beanbonyka Rim,Royal University of Phnom Penh,Verified email at rupp.edu.kh,804,11,12,https://scholar.google.com/citations?hl=en&user=h-qfOGkAAAAJ
rupp.edu.kh,Say Sok,Independent Consultant and Researcher,Verified email at rupp.edu.kh,681,17,23,https://scholar.google.com/citations?hl=en&user=LvzVwc4AAAAJ
rupp.edu.kh,Mak Sithirith,Researcher,Verified email at rupp.edu.kh,619,13,21,https://scholar.google.com/citations?hl=en&user=NBYZltoAAAAJ
rupp.edu.kh,Veasna Soum,Royal University of Phnom Penh,Verified email at rupp.edu.kh,554,11,11,https://scholar.google.com/citations?hl=en&user=dg6Ez8QAAAAJ
rupp.edu.kh,Sok Serey,HKBU,Verified email at rupp.edu.kh -Homepage,512,12,17,https://scholar.google.com/citations?hl=en&user=JgDhDJIAAAAJ
rupp.edu.kh,Leang UN,Dean,Verified email at rupp.edu.kh -Homepage,465,10,12,https://scholar.google.com/citations?hl=en&user=pkRMNd8AAAAJ
rupp.edu.kh,Vin Spoann,"Assoc. professor, Royal University of Phnom Penh",Verified email at rupp.edu.kh -Homepage,444,8,8,https://scholar.google.com/citations?hl=en&user=bn4FpIIAAAAJ
rupp.edu.kh,Tieng Siteng,"Faculty of Engineering, Royal University of Phnom Penh, Cambodia",Verified email at rupp.edu.kh,398,10,10,https://scholar.google.com/citations?hl=en&user=mlH6VK0AAAAJ
itc.edu.kh,KAKADA UON,"Teacher of English as a second language, Institute of Technology of Cambodia (ITC)",Verified email at itc.edu.kh,2358,21,38,https://scholar.google.com/citations?hl=en&user=y6Nqw2gAAAAJ
itc.edu.kh,Hasika Mith,"Researcher, Institute of Technology of Cambodia",Verified email at itc.edu.kh,877,13,13,https://scholar.google.com/citations?hl=en&user=wjzQqKoAAAAJ
itc.edu.kh,SOK Ty,Institute of Technology of Cambodia,Verified email at itc.edu.kh,772,17,23,https://scholar.google.com/citations?hl=en&user=_r9PG1UAAAAJ
itc.edu.kh,PHAT Chanvorleak,"Head of Food Technology and Nutrition Research Unit, Institute of Technology of Cambodia",Verified email at itc.edu.kh,738,7,7,https://scholar.google.com/citations?hl=en&user=mYv2qGAAAAAJ
itc.edu.kh,Long Bun,Institute of Technology of Cambodia,Verified email at itc.edu.kh,662,14,18,https://scholar.google.com/citations?hl=en&user=XZKnwyYAAAAJ
itc.edu.kh,PHUN Vengkheang,Visiting Associate Professor,Verified email at itc.edu.kh -Homepage,525,11,11,https://scholar.google.com/citations?hl=en&user=j73WVVkAAAAJ
itc.edu.kh,Pichmony Ek,Institute of Technology of Cambodia,Verified email at itc.edu.kh,497,12,12,https://scholar.google.com/citations?hl=en&user=Dn_pqWcAAAAJ
itc.edu.kh,TAN Reasmey,Institute of Technology of Cambodia (ITC),Verified email at itc.edu.kh,485,9,9,https://scholar.google.com/citations?hl=en&user=q8IUX-gAAAAJ
itc.edu.kh,Vannak Vai,"Lecturer-Researcher, Institute of Technology of Cambodia",Verified email at itc.edu.kh -Homepage,449,11,13,https://scholar.google.com/citations?hl=en&user=CswoKhYAAAAJ
itc.edu.kh,Dona Valy,Institute of Technology of Cambodia,Verified email at itc.edu.kh,360,10,10,https://scholar.google.com/citations?hl=en&user=dLCU38EAAAAJ
