domain,name,affiliation,email,citations,hindex,i10index,profile
nie.edu.kh,Sopha Soeung,National Institute of Education,Verified email at nie.edu.kh,111,7,6,https://scholar.google.com/citations?hl=en&user=9PwEPscAAAAJ
nie.edu.kh,Savrin THY,"Doctor of Education, National Institute of Education (NIE), Cambodia",Verified email at nie.edu.kh,61,6,2,https://scholar.google.com/citations?hl=en&user=uSEWd2EAAAAJ
nie.edu.kh,Vutheavy Chim,"National Institute of Education, Cambodia",Verified email at nie.edu.kh,45,4,2,https://scholar.google.com/citations?hl=en&user=PEUvlEoAAAAJ
nie.edu.kh,Ngoeurn,MA,Verified email at nie.edu.kh,43,2,2,https://scholar.google.com/citations?hl=en&user=3EhvL_8AAAAJ
nie.edu.kh,Rany im,"Graduate School of Education, Aichi University of Education",Verified email at nie.edu.kh,36,3,2,https://scholar.google.com/citations?hl=en&user=R83b3dIAAAAJ
nie.edu.kh,Chanponna Chea,"Doctor of Philosophy in Education, Hiroshima University, Japan",Verified email at nie.edu.kh -Homepage,26,2,1,https://scholar.google.com/citations?hl=en&user=FuzFGI0AAAAJ
nie.edu.kh,Sieng Veasna,"Deputy director of Graduate School, National Institute of Education (NIE), Cambodia.",Verified email at nie.edu.kh -Homepage,18,2,1,https://scholar.google.com/citations?hl=en&user=T-tTZAoAAAAJ
nie.edu.kh,Somara Sun,"Training Coordinator, New Generation Pedagogical Research Center, National Institute of Education",Verified email at nie.edu.kh,13,2,0,https://scholar.google.com/citations?hl=en&user=Wojz0MMAAAAJ
nie.edu.kh,Robraw Ann,"Vice-Dean, Institut National de l'Education",Verified email at nie.edu.kh,6,1,0,https://scholar.google.com/citations?hl=en&user=fBM_BCoAAAAJ
nie.edu.kh,Sokchea Ly,National Institute of Education,Verified email at nie.edu.kh,6,1,0,https://scholar.google.com/citations?hl=en&user=djlI_lUAAAAJ
npic.edu.kh,Leang So Khuong,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh -Homepage,1316,11,11,https://scholar.google.com/citations?hl=en&user=PNquJjkAAAAJ
npic.edu.kh,SAR SARY,Senior Lecturer of National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh -Homepage,438,13,18,https://scholar.google.com/citations?hl=en&user=KuX3qM4AAAAJ
npic.edu.kh,Chivon Choeung,"Lecturer & Researcher, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh -Homepage,306,11,15,https://scholar.google.com/citations?hl=en&user=LxeaO3oAAAAJ
npic.edu.kh,Heng Tang,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,158,9,9,https://scholar.google.com/citations?hl=en&user=Jcl8V6UAAAAJ
npic.edu.kh,Panha Soth,"Lecturer, National Polytechnic Institue of Cambodia",Verified email at npic.edu.kh,158,9,9,https://scholar.google.com/citations?hl=en&user=Ldc7Nn8AAAAJ
npic.edu.kh,"Phanam Pech, Ph.D.","Contract Professor, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh -Homepage,141,8,5,https://scholar.google.com/citations?hl=en&user=FQ5sSXQAAAAJ
npic.edu.kh,Oum Saokosal,"Chief of Faculty of Computer Science, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,128,1,1,https://scholar.google.com/citations?hl=en&user=xVCwYQ4AAAAJ
npic.edu.kh,sovann ang,"Lecturer of electrical engineering, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,114,6,6,https://scholar.google.com/citations?hl=en&user=q6P9J_MAAAAJ
npic.edu.kh,Channareth Srun,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh -Homepage,113,7,2,https://scholar.google.com/citations?hl=en&user=s3wcBcsAAAAJ
npic.edu.kh,SAR SARY,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh -Homepage,84,5,4,https://scholar.google.com/citations?hl=en&user=-GbGOb4AAAAJ
nubb.edu.kh,Pao SREAN,National University of Battambang,Verified email at nubb.edu.kh -Homepage,1200,17,24,https://scholar.google.com/citations?hl=en&user=6USZ3JMAAAAJ
nubb.edu.kh,"Rany Sam, PhD","Vice-Rector of National University of Battambang (NUBB), Cambodia",Verified email at nubb.edu.kh -Homepage,1160,15,25,https://scholar.google.com/citations?hl=en&user=I70xug4AAAAJ
nubb.edu.kh,Chan HUM,"Graduate School, National University of Battambang",Verified email at nubb.edu.kh,150,8,5,https://scholar.google.com/citations?hl=en&user=z68fAU8AAAAJ
nubb.edu.kh,Morin Tieng,Vice Rector,Verified email at nubb.edu.kh,96,6,3,https://scholar.google.com/citations?hl=en&user=yK3_9BsAAAAJ
nubb.edu.kh,Ry Hour,National University of Battambang (NUBB),Verified email at nubb.edu.kh,81,4,3,https://scholar.google.com/citations?hl=en&user=qmWFGBMAAAAJ
nubb.edu.kh,Ratha Rien,"Lecturer, Department of Agriculture, Faculty of Agriculture and Food Processing",Verified email at nubb.edu.kh,63,4,4,https://scholar.google.com/citations?hl=en&user=N68d5PEAAAAJ
