name,affiliation,email,domain,citations_scholar,hindex_scholar,i10_scholar,profile_scholar,orcid,scopus_status,scopus_id,scopus_url
Sopha Soeung,National Institute of Education,Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=9PwEPscAAAAJ,0000-0003-0569-3021,found,57219198544,https://www.scopus.com/authid/detail.uri?authorId=57219198544
Savrin THY,"Doctor of Education, National Institute of Education (NIE), Cambodia",Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=uSEWd2EAAAAJ,0000-0002-5826-5170,found,,
Vutheavy Chim,"National Institute of Education, Cambodia",Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=PEUvlEoAAAAJ,0009-0000-6400-4930,found,,
Ngoeurn,MA,Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=3EhvL_8AAAAJ,0009-0006-7406-3145,found,,
Rany im,"Graduate School of Education, Aichi University of Education",Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=R83b3dIAAAAJ,0000-0002-0703-7151,found,,
Chanponna Chea,"Doctor of Philosophy in Education, Hiroshima University, Japan",Verified email at nie.edu.kh - Homepage,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=FuzFGI0AAAAJ,0000-0001-8284-1660,found,59397401600,https://www.scopus.com/authid/detail.uri?authorId=59397401600
Sieng Veasna,"Deputy director of Graduate School, National Institute of Education (NIE), Cambodia.",Verified email at nie.edu.kh - Homepage,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=T-tTZAoAAAAJ,0000-0003-0733-8701,found,,
Somara Sun,"Training Coordinator, New Generation Pedagogical Research Center, National Institute of Education",Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=Wojz0MMAAAAJ,0000-0002-9466-614X,found,,
Robraw Ann,"Vice-Dean, Institut National de l'Education",Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=fBM_BCoAAAAJ,0009-0007-7898-3560,found,,
Sokchea Ly,National Institute of Education,Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=djlI_lUAAAAJ,0009-0004-9014-5541,found,,
Keun Im,"Researcher, Academic Supervisor, and IELTS trainer for postgraduate scholars",Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=I9Of67EAAAAJ,0009-0007-0148-9601,found,,
Huy Hang,"Ph.D. Research Scholar, University of Calcutta",Verified email at nie.edu.kh,nie.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=GkYG2CMAAAAJ,0000-0001-7928-3418,found,,
Leang So Khuong,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=PNquJjkAAAAJ,0000-0002-3003-5058,found,,
SAR SARY,Senior Lecturer of National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=KuX3qM4AAAAJ,0000-0003-2301-8089,found,57208127676,https://www.scopus.com/authid/detail.uri?authorId=57208127676
Chivon Choeung,"Lecturer & Researcher, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=LxeaO3oAAAAJ,0000-0003-2874-6202,found,57192099788,https://www.scopus.com/authid/detail.uri?authorId=57192099788
Heng Tang,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=Jcl8V6UAAAAJ,0000-0002-9676-8019,found,36671317600,https://www.scopus.com/authid/detail.uri?authorId=36671317600
Panha Soth,"Lecturer, National Polytechnic Institue of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=Ldc7Nn8AAAAJ,0000-0002-6110-3463,found,58035948000,https://www.scopus.com/authid/detail.uri?authorId=58035948000
"Phanam Pech, Ph.D.","Contract Professor, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=FQ5sSXQAAAAJ,0000-0002-1443-5086,found,57205379262,https://www.scopus.com/authid/detail.uri?authorId=57205379262
Oum Saokosal,"Chief of Faculty of Computer Science, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=xVCwYQ4AAAAJ,0000-0002-8975-7119,found,,
