name,clean_name,affiliation,email,domain,citations_scholar,hindex_scholar,i10_scholar,profile_scholar,orcid,scopus_status,scopus_id,scopus_url,s2_author_id,s2_name,h_index,citation_count,paper_count,metrics_fetched,fix_status,s2_profile_url
Sopha Soeung,Sopha Soeung,National Institute of Education,Verified email at nie.edu.kh,nie.edu.kh,111.0,7.0,6.0,https://scholar.google.com/citations?hl=en&user=9PwEPscAAAAJ,0000-0003-0569-3021,found,57219198544.0,https://www.scopus.com/authid/detail.uri?authorId=57219198544,121296676,Sophat Soeung,4,52,13,,rechecked_fixed,https://www.semanticscholar.org/author/121296676
Savrin THY,Savrin THY,"Doctor of Education, National Institute of Education (NIE), Cambodia",Verified email at nie.edu.kh,nie.edu.kh,61.0,6.0,2.0,https://scholar.google.com/citations?hl=en&user=uSEWd2EAAAAJ,0000-0002-5826-5170,found,,,1573683944,Savrin Thy,4.0,25.0,6.0,,fixed,https://www.semanticscholar.org/author/1573683944
Vutheavy Chim,Vutheavy Chim,"National Institute of Education, Cambodia",Verified email at nie.edu.kh,nie.edu.kh,45.0,4.0,2.0,https://scholar.google.com/citations?hl=en&user=PEUvlEoAAAAJ,0009-0000-6400-4930,found,,,2207442434.0,Vutheavy Chim,3.0,10.0,5.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2207442434.0
Ngoeurn,Ngoeurn,MA,Verified email at nie.edu.kh,nie.edu.kh,43.0,2.0,2.0,https://scholar.google.com/citations?hl=en&user=3EhvL_8AAAAJ,0009-0006-7406-3145,found,,,2428025055.0,Borey Ngoeurn,0.0,0.0,1.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2428025055.0
Rany im,Rany im,"Graduate School of Education, Aichi University of Education",Verified email at nie.edu.kh,nie.edu.kh,36.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=R83b3dIAAAAJ,0000-0002-0703-7151,found,,,2257074593.0,Rany Im,3.0,23.0,4.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2257074593.0
Chanponna Chea,Chanponna Chea,"Doctor of Philosophy in Education, Hiroshima University, Japan",Verified email at nie.edu.kh - Homepage,nie.edu.kh,26.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=FuzFGI0AAAAJ,0000-0001-8284-1660,found,59397401600.0,https://www.scopus.com/authid/detail.uri?authorId=59397401600,2327795720,Chanponna Chea,1.0,7.0,1.0,,fixed,https://www.semanticscholar.org/author/2327795720
Sieng Veasna,Sieng Veasna,"Deputy director of Graduate School, National Institute of Education (NIE), Cambodia.",Verified email at nie.edu.kh - Homepage,nie.edu.kh,18.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=T-tTZAoAAAAJ,0000-0003-0733-8701,found,,,2358340126,Veasna Sieng,1.0,4.0,1.0,,fixed,https://www.semanticscholar.org/author/2358340126
Somara Sun,Somara Sun,"Training Coordinator, New Generation Pedagogical Research Center, National Institute of Education",Verified email at nie.edu.kh,nie.edu.kh,13.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=Wojz0MMAAAAJ,0000-0002-9466-614X,found,,,2184551395.0,S. Sun,1.0,4.0,4.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2184551395.0
Robraw Ann,Robraw Ann,"Vice-Dean, Institut National de l'Education",Verified email at nie.edu.kh,nie.edu.kh,6.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=fBM_BCoAAAAJ,0009-0007-7898-3560,found,,,2318885442.0,Robraw Ann,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2318885442.0
Sokchea Ly,Sokchea Ly,National Institute of Education,Verified email at nie.edu.kh,nie.edu.kh,6.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=djlI_lUAAAAJ,0009-0004-9014-5541,found,,,,,,,,,skipped_low_hindex,
